company,ticker,basis,market_cap_inr_crore,provider_ev_inr_crore,current_investments_inr_crore,cash_and_equivalents_inr_crore,bank_balances_inr_crore,gross_borrowings_inr_crore,lease_liabilities_inr_crore,acceptances_inr_crore,cash_like_assets_inr_crore,conservative_net_cash_inr_crore,lease_adjusted_net_cash_inr_crore,full_debt_like_adjusted_net_cash_inr_crore,reconstructed_ev_conservative_inr_crore,reconstructed_ev_lease_adjusted_inr_crore,reconstructed_ev_full_debt_like_inr_crore,absolute_deviation_conservative_inr_crore,percentage_deviation_conservative,absolute_deviation_lease_adjusted_inr_crore,percentage_deviation_lease_adjusted,absolute_deviation_full_debt_like_inr_crore,percentage_deviation_full_debt_like,bucket_conservative,bucket_full_debt_like,status
Polycab India Ltd,POLYCAB.NS,StockAnalysis precise observation,135544.70,131611.10,1749.04,217.39,553.25,109.00,93.43,1306.24,2519.68,2410.68,2317.25,1011.01,133134.02,133227.45,134533.69,-1522.92,-0.0114,-1616.35,-0.0121,-2922.59,-0.0217,low_below_2pct,moderate_2_to_5pct,preliminary_provider_date_alignment_needed
Polycab India Ltd,POLYCAB.NS,Screener market-cap basis,135510.00,,1749.04,217.39,553.25,109.00,93.43,1306.24,2519.68,2410.68,2317.25,1011.01,133099.32,133192.75,134498.99,,,,,,,ev_missing,ev_missing,market_cap_captured_ev_pending
Polycab India Ltd,POLYCAB.NS,Moneycontrol current ratio-table observation,,102227.40,1749.04,217.39,553.25,109.00,93.43,1306.24,2519.68,2410.68,2317.25,1011.01,,,,,,,,,,excluded_date_basis_unclear,excluded_date_basis_unclear,excluded_from_current_deviation_until_date_basis_verified
