company,ticker,basis,market_cap_inr_crore,provider_ev_inr_crore,cash_and_equivalents_inr_crore,bank_balances_inr_crore,current_investments_inr_crore,current_borrowings_inr_crore,lease_liabilities_inr_crore,cash_like_assets_inr_crore,conservative_net_cash_inr_crore,lease_adjusted_net_cash_inr_crore,reconstructed_ev_conservative_inr_crore,absolute_deviation_inr_crore,percentage_deviation,bucket,status
National Aluminium Company Ltd,NATIONALUM.NS,StockAnalysis observation 1,75146,67296,121.40,5305.33,514.92,124.22,57.52,5941.65,5817.43,5759.91,69328.57,-2032.57,-0.0293,moderate_2_to_5pct,preliminary_not_date_aligned
National Aluminium Company Ltd,NATIONALUM.NS,StockAnalysis observation 2,77855,70005,121.40,5305.33,514.92,124.22,57.52,5941.65,5817.43,5759.91,72037.57,-2032.57,-0.0282,moderate_2_to_5pct,preliminary_not_date_aligned
National Aluminium Company Ltd,NATIONALUM.NS,Yahoo Finance observation,66394,58459,121.40,5305.33,514.92,124.22,57.52,5941.65,5817.43,5759.91,60576.57,-2117.57,-0.0350,moderate_2_to_5pct,preliminary_not_date_aligned
National Aluminium Company Ltd,NATIONALUM.NS,Screener market-cap basis,76578,,121.40,5305.33,514.92,124.22,57.52,5941.65,5817.43,5759.91,70760.57,,,ev_missing,market_cap_captured_ev_pending
