company,ticker,basis,market_cap_inr_crore,provider_ev_inr_crore,current_investments_inr_crore,cash_and_equivalents_inr_crore,bank_balances_inr_crore,gross_borrowings_inr_crore,lease_liabilities_inr_crore,minority_interest_inr_crore,cash_like_assets_inr_crore,conservative_net_cash_inr_crore,lease_adjusted_net_cash_inr_crore,minority_adjusted_net_cash_equivalent_inr_crore,lease_and_minority_adjusted_net_cash_equivalent_inr_crore,reconstructed_ev_conservative_plus_minority_inr_crore,reconstructed_ev_lease_and_minority_adjusted_inr_crore,absolute_deviation_conservative_plus_minority_inr_crore,percentage_deviation_conservative_plus_minority,absolute_deviation_lease_and_minority_adjusted_inr_crore,percentage_deviation_lease_and_minority_adjusted,bucket,status
Hero MotoCorp Ltd,HEROMOTOCO.NS,StockAnalysis observation 1,106000.00,95814.00,6635.99,383.55,190.53,456.76,243.17,132.05,7210.07,6753.31,6510.14,6621.26,6378.09,99378.74,99621.91,-3564.74,-0.0359,-3807.91,-0.0382,moderate_2_to_5pct,preliminary_provider_date_alignment_needed
Hero MotoCorp Ltd,HEROMOTOCO.NS,StockAnalysis observation 2,106000.00,95936.00,6635.99,383.55,190.53,456.76,243.17,132.05,7210.07,6753.31,6510.14,6621.26,6378.09,99378.74,99621.91,-3442.74,-0.0346,-3685.91,-0.0370,moderate_2_to_5pct,preliminary_provider_date_alignment_needed
Hero MotoCorp Ltd,HEROMOTOCO.NS,Screener market-cap basis,,,,6635.99,383.55,190.53,456.76,243.17,132.05,7210.07,6753.31,6510.14,6621.26,6378.09,,,,,,ev_missing,market_cap_and_ev_pending
Hero MotoCorp Ltd,HEROMOTOCO.NS,Yahoo Finance observation,,,,6635.99,383.55,190.53,456.76,243.17,132.05,7210.07,6753.31,6510.14,6621.26,6378.09,,,,,,ev_missing,market_cap_and_ev_pending
Hero MotoCorp Ltd,HEROMOTOCO.NS,Moneycontrol observation,,,,6635.99,383.55,190.53,456.76,243.17,132.05,7210.07,6753.31,6510.14,6621.26,6378.09,,,,,,ev_missing,market_cap_and_ev_pending
