company,ticker,annual_report_year,statement_basis,annual_report_file,page_reference,note_reference,line_item,value_inr_crore,treatment,include_in_ev_formula,data_quality_flag,notes
National Aluminium Company Ltd,NATIONALUM.NS,FY2024-25,Standalone,44th-Annual-Report-2024-25-NALCO.pdf,Page 154 / PDF page 156,Note 9,Current investments,514.92,subtract_if_cash_like,yes,verified,Reported under current financial assets investments.
National Aluminium Company Ltd,NATIONALUM.NS,FY2024-25,Standalone,44th-Annual-Report-2024-25-NALCO.pdf,Page 154 / PDF page 156,Note 16,Cash and cash equivalents,121.40,subtract,yes,verified,Reported under current financial assets cash and cash equivalents.
National Aluminium Company Ltd,NATIONALUM.NS,FY2024-25,Standalone,44th-Annual-Report-2024-25-NALCO.pdf,Page 154 / PDF page 156,Note 16,Bank balances other than cash and cash equivalents,5305.33,subtract_if_cash_like,yes,verified,Reported under current financial assets bank balances other than cash and cash equivalents.
National Aluminium Company Ltd,NATIONALUM.NS,FY2024-25,Standalone,44th-Annual-Report-2024-25-NALCO.pdf,Page 154 / PDF page 156,Note 20,Current borrowings,124.22,add,yes,verified,Reported under current financial liabilities borrowings.
National Aluminium Company Ltd,NATIONALUM.NS,FY2024-25,Standalone,44th-Annual-Report-2024-25-NALCO.pdf,Page 154 / PDF page 156,Note 19,Non-current lease liabilities,50.94,add_if_material,review,verified,Reported under non-current financial liabilities lease liabilities. Treatment requires consistency across providers.
National Aluminium Company Ltd,NATIONALUM.NS,FY2024-25,Standalone,44th-Annual-Report-2024-25-NALCO.pdf,Page 154 / PDF page 156,Note 19,Current lease liabilities,6.58,add_if_material,review,verified,Reported under current financial liabilities lease liabilities. Treatment requires consistency across providers.
National Aluminium Company Ltd,NATIONALUM.NS,FY2024-25,Standalone,44th-Annual-Report-2024-25-NALCO.pdf,Page 154 / PDF page 156,Note 9,Non-current investments in joint ventures,499.58,disclose_separately,no,verified,Reported under non-current financial assets; not automatically treated as cash-like.
National Aluminium Company Ltd,NATIONALUM.NS,FY2024-25,Standalone,44th-Annual-Report-2024-25-NALCO.pdf,Page 154 / PDF page 156,Note 9,Other non-current investments,0.03,disclose_separately,no,verified,Reported under non-current financial assets; immaterial.
